# Hydrogen Bonds
#Frame    	Count
1         	341
2         	319
3         	323
4         	323
5         	330
6         	315
7         	332
8         	322
9         	336
10        	317
11        	333
12        	315
13        	322
14        	320
15        	320
16        	332
17        	323
18        	333
19        	319
20        	313
21        	329
22        	325
23        	327
24        	322
25        	325
26        	330
27        	320
28        	334
29        	333
30        	323
31        	326
32        	335
33        	334
34        	329
35        	319
36        	333
37        	324
38        	321
39        	323
40        	330
41        	325
42        	330
43        	335
44        	326
45        	330
46        	330
47        	340
48        	337
49        	325
50        	328
51        	328
52        	329
53        	337
54        	325
55        	329
56        	330
57        	327
58        	340
59        	335
60        	327
61        	330
62        	340
63        	327
64        	327
65        	318
66        	330
67        	331
68        	330
69        	330
70        	337
71        	333
72        	333
73        	333
74        	329
75        	338
76        	333
77        	343
78        	328
79        	324
80        	335
81        	326
82        	325
83        	333
84        	327
85        	327
86        	320
87        	333
88        	325
89        	330
90        	335
91        	328
92        	326
93        	334
94        	329
95        	336
96        	326
97        	335
98        	321
99        	317
100       	336
101       	321
102       	326
103       	338
104       	325
105       	311
106       	326
107       	337
108       	324
109       	324
110       	320
111       	328
112       	331
113       	338
114       	334
115       	326
116       	315
117       	335
118       	332
119       	313
120       	330
121       	322
122       	325
123       	330
124       	330
125       	330
126       	335
127       	334
128       	339
129       	328
130       	343
131       	330
132       	339
133       	335
134       	326
135       	334
136       	331
137       	340
138       	329
139       	327
140       	331
141       	321
142       	328
143       	333
144       	331
145       	329
146       	331
147       	316
148       	336
149       	332
150       	337
151       	335
152       	331
153       	330
154       	333
155       	325
156       	340
157       	333
158       	332
159       	331
160       	328
161       	329
162       	329
163       	323
164       	341
165       	330
166       	326
167       	331
168       	334
169       	347
170       	345
171       	331
172       	337
173       	335
174       	324
175       	320
176       	329
177       	338
178       	341
179       	328
180       	331
181       	339
182       	341
183       	328
184       	325
185       	336
186       	332
187       	325
188       	337
189       	323
190       	332
191       	343
192       	334
193       	339
194       	345
195       	328
196       	333
197       	342
198       	337
199       	329
200       	327
201       	335
202       	337
203       	337
204       	331
205       	327
206       	332
207       	320
208       	329
209       	327
210       	333
211       	340
212       	332
213       	326
214       	318
215       	336
216       	337
217       	326
218       	323
219       	334
220       	331
221       	324
222       	320
223       	325
224       	316
225       	342
226       	323
227       	333
228       	331
229       	341
230       	334
231       	327
232       	332
233       	328
234       	332
235       	339
236       	330
237       	327
238       	323
239       	332
240       	327
241       	323
242       	335
243       	332
244       	340
245       	326
246       	339
247       	332
248       	332
249       	332
250       	330
251       	319
252       	325
253       	321
254       	318
255       	321
256       	319
257       	323
258       	322
259       	331
260       	327
261       	316
262       	331
263       	332
264       	330
265       	330
266       	328
267       	336
268       	335
269       	327
270       	331
271       	326
272       	347
273       	322
274       	334
275       	329
276       	326
277       	334
278       	336
279       	333
280       	323
281       	321
282       	333
283       	337
284       	329
285       	331
286       	321
287       	335
288       	332
289       	328
290       	328
291       	331
292       	329
293       	323
294       	316
295       	330
296       	321
297       	324
298       	309
299       	309
300       	328
301       	315
302       	335
303       	317
304       	332
305       	333
306       	329
307       	316
308       	334
309       	323
310       	336
311       	321
312       	322
313       	321
314       	329
315       	331
316       	322
317       	324
318       	325
319       	312
320       	320
321       	319
322       	331
323       	313
324       	306
325       	309
326       	322
327       	335
328       	325
329       	309
330       	326
331       	321
332       	335
333       	319
334       	332
335       	320
336       	321
337       	321
338       	312
339       	313
340       	334
341       	322
342       	337
343       	327
344       	321
345       	313
346       	323
347       	332
348       	316
349       	335
350       	329
351       	322
352       	334
353       	335
354       	327
355       	310
356       	328
357       	321
358       	324
359       	331
360       	313
361       	325
362       	333
363       	323
364       	321
365       	320
366       	334
367       	322
368       	314
369       	338
370       	330
371       	318
372       	317
373       	316
374       	325
375       	322
376       	316
377       	333
378       	324
379       	330
380       	324
381       	331
382       	326
383       	332
384       	337
385       	330
386       	336
387       	318
388       	328
389       	339
390       	327
391       	324
392       	319
393       	324
394       	316
395       	327
396       	313
397       	321
398       	331
399       	316
400       	322
401       	317
402       	321
403       	322
404       	318
405       	341
406       	325
407       	319
408       	326
409       	317
410       	316
411       	321
412       	326
413       	326
414       	324
415       	316
416       	328
417       	319
418       	330
419       	321
420       	321
421       	324
422       	319
423       	324
424       	315
425       	328
426       	324
427       	316
428       	325
429       	328
430       	338
431       	323
432       	316
433       	319
434       	327
435       	316
436       	331
437       	330
438       	329
439       	329
440       	326
441       	344
442       	333
443       	334
444       	332
445       	332
446       	312
447       	330
448       	325
449       	318
450       	324
451       	322
452       	304
453       	329
454       	328
455       	333
456       	322
457       	318
458       	335
459       	323
460       	327
461       	326
462       	335
463       	319
464       	326
465       	312
466       	330
467       	323
468       	317
469       	325
470       	331
471       	316
472       	329
473       	324
474       	316
475       	325
476       	324
477       	336
478       	323
479       	337
480       	322
481       	330
482       	324
483       	322
484       	327
485       	324
486       	320
487       	328
488       	318
489       	326
490       	320
491       	342
492       	321
493       	331
494       	326
495       	321
496       	314
497       	320
498       	315
499       	331
500       	330
501       	324
502       	335
503       	319
504       	337
505       	324
506       	323
507       	332
508       	319
509       	321
510       	340
511       	339
512       	331
513       	333
514       	332
515       	335
516       	323
517       	332
518       	325
519       	337
520       	331
521       	329
522       	337
523       	317
524       	335
525       	322
526       	329
527       	325
528       	333
529       	330
530       	314
531       	332
532       	336
533       	324
534       	322
535       	338
536       	335
537       	321
538       	335
539       	337
540       	337
541       	326
542       	336
543       	340
544       	327
545       	328
546       	342
547       	324
548       	326
549       	334
550       	323
551       	319
552       	346
553       	321
554       	327
555       	324
556       	333
557       	324
558       	332
559       	338
560       	333
561       	352
562       	330
563       	319
564       	334
565       	344
566       	330
567       	338
568       	325
569       	332
570       	329
571       	332
572       	328
573       	328
574       	332
575       	320
576       	329
577       	323
578       	326
579       	321
580       	326
581       	332
582       	343
583       	324
584       	326
585       	337
586       	332
587       	328
588       	328
589       	336
590       	326
591       	328
592       	323
593       	324
594       	315
595       	319
596       	328
597       	334
598       	328
599       	331
600       	333
601       	321
602       	320
603       	327
604       	327
605       	334
606       	318
607       	328
608       	330
609       	326
610       	333
611       	322
612       	337
613       	331
614       	317
615       	324
616       	328
617       	330
618       	328
619       	319
620       	318
621       	326
622       	330
623       	326
624       	336
625       	326
626       	335
627       	323
628       	325
629       	330
630       	333
631       	316
632       	311
633       	315
634       	326
635       	332
636       	331
637       	324
638       	340
639       	327
640       	335
641       	320
642       	333
643       	328
644       	317
645       	332
646       	321
647       	340
648       	332
649       	332
650       	334
651       	331
652       	318
653       	337
654       	323
655       	328
656       	317
657       	321
658       	323
659       	332
660       	325
661       	335
662       	329
663       	327
664       	336
665       	326
666       	332
667       	333
668       	316
669       	317
670       	343
671       	341
672       	330
673       	335
674       	332
675       	325
676       	325
677       	334
678       	339
679       	338
680       	338
681       	342
682       	329
683       	326
684       	319
685       	333
686       	328
687       	331
688       	336
689       	332
690       	328
691       	328
692       	329
693       	328
694       	319
695       	336
696       	338
697       	330
698       	328
699       	333
700       	330
701       	329
702       	332
703       	322
704       	332
705       	326
706       	331
707       	338
708       	336
709       	321
710       	332
711       	323
712       	331
713       	330
714       	329
715       	334
716       	331
717       	335
718       	342
719       	329
720       	329
721       	326
722       	327
723       	332
724       	321
725       	333
726       	325
727       	322
728       	325
729       	334
730       	319
731       	332
732       	327
733       	325
734       	339
735       	323
736       	330
737       	328
738       	315
739       	317
740       	329
741       	329
742       	333
743       	329
744       	320
745       	336
746       	333
747       	329
748       	331
749       	339
750       	321
751       	335
752       	329
753       	326
754       	328
755       	332
756       	331
757       	334
758       	337
759       	346
760       	335
761       	339
762       	338
763       	336
764       	331
765       	334
766       	333
767       	328
768       	333
769       	335
770       	319
771       	328
772       	335
773       	330
774       	337
775       	334
776       	328
777       	331
778       	337
779       	343
780       	339
781       	318
782       	332
783       	341
784       	327
785       	341
786       	341
787       	333
788       	338
789       	333
790       	336
791       	335
792       	342
793       	334
794       	334
795       	337
796       	331
797       	341
798       	337
799       	326
800       	328
801       	343
802       	335
803       	330
804       	334
805       	338
806       	325
807       	331
808       	329
809       	331
810       	339
811       	319
812       	329
813       	329
814       	335
815       	324
816       	328
817       	328
818       	342
819       	330
820       	332
821       	334
822       	343
823       	336
824       	329
825       	342
826       	324
827       	323
828       	328
829       	327
830       	324
831       	335
832       	335
833       	325
834       	331
835       	342
836       	333
837       	346
838       	340
839       	338
840       	344
841       	335
842       	332
843       	343
844       	337
845       	336
846       	330
847       	332
848       	324
849       	323
850       	331
851       	331
852       	324
853       	328
854       	345
855       	345
856       	333
857       	324
858       	332
859       	330
860       	340
861       	325
862       	334
863       	337
864       	333
865       	334
866       	328
867       	328
868       	330
869       	331
870       	329
871       	323
872       	332
873       	321
874       	316
875       	332
876       	326
877       	325
878       	340
879       	342
880       	338
881       	330
882       	329
883       	336
884       	330
885       	337
886       	329
887       	339
888       	325
889       	325
890       	331
891       	335
892       	329
893       	331
894       	336
895       	339
896       	324
897       	327
898       	319
899       	322
900       	316
901       	330
902       	320
903       	322
904       	327
905       	336
906       	329
907       	339
908       	327
909       	328
910       	324
911       	326
912       	325
913       	320
914       	321
915       	317
916       	317
917       	315
918       	342
919       	332
920       	336
921       	318
922       	330
923       	338
924       	332
925       	329
926       	332
927       	335
928       	330
929       	325
930       	329
931       	328
932       	326
933       	329
934       	335
935       	331
936       	329
937       	329
938       	319
939       	332
940       	322
941       	320
942       	330
943       	324
944       	323
945       	333
946       	330
947       	321
948       	329
949       	326
950       	326
951       	327
952       	326
953       	325
954       	327
955       	321
956       	326
957       	320
958       	332
959       	317
960       	320
961       	326
962       	321
963       	332
964       	330
965       	324
966       	322
967       	324
968       	334
969       	337
970       	324
971       	327
972       	327
973       	331
974       	336
975       	327
976       	338
977       	335
978       	336
979       	330
980       	325
981       	333
982       	348
983       	336
984       	331
985       	325
986       	326
987       	336
988       	335
989       	333
990       	334
991       	326
992       	340
993       	326
994       	329
995       	337
996       	335
997       	332
998       	328
999       	322
1000      	334
